Province_Region,Unemployment_Rate
An Giang,3.22
Bà Rịa - Vũng Tàu,3.81
Bình Dương,2.19
Bình Phước,2.76
Bình Thuận,3.0
Bình Định,2.77
Bạc Liêu,2.9
Bắc Giang,1.09
Bắc Kạn,2.2
Bắc Ninh,2.45
Bắc Trung Bộ và duyên hải miền Trung,2.76
Bến Tre,1.72
Cao Bằng,2.32
Cà Mau,2.14
Cần Thơ,3.64
Gia Lai,0.9
Hà Giang,2.34
Hà Nam,1.65
Hà Nội,2.1
Hà Tĩnh,4.64
Hòa Bình,1.16
Hưng Yên,1.91
Hải Dương,1.74
Hải Phòng,2.52
Hậu Giang,2.86
Khánh Hòa,3.86
Kiên Giang,3.54
Kon Tum,0.84
Lai Châu,1.0
Long An,2.65
Lào Cai,1.57
Lâm Đồng,0.76
Lạng Sơn,4.36
Nam Định,1.43
Nghệ An,1.62
Ninh Bình,1.2
Ninh Thuận,2.89
Phú Thọ,1.37
Phú Yên,2.49
Quảng Bình,3.06
Quảng Nam,3.8
Quảng Ngãi,2.34
Quảng Ninh,2.63
Quảng Trị,3.36
Sóc Trăng,3.05
Sơn La,1.19
TP. Hồ Chí Minh,4.0
Thanh Hóa,1.4
Thái Bình,1.31
Thái Nguyên,1.55
Thừa Thiên - Huế,3.77
Tiền Giang,3.05
Trung du và miền núi phía Bắc,1.64
Trà Vinh,2.9
Tuyên Quang,2.5
Tây Nguyên,1.07
Tây Ninh,1.78
Vĩnh Long,3.14
Vĩnh Phúc,1.72
Yên Bái,1.92
Điện Biên,0.44
Đà Nẵng,4.95
Đông Nam Bộ,3.13
Đắk Lắk,1.53
Đắk Nông,0.96
Đồng Nai,2.14
Đồng Tháp,3.83
Đồng bằng sông Cửu Long,3.01
Đồng bằng sông Hồng,1.97
